"orgao","entidade","bloco","sigla_orgao","nome_orgao","primeiro","ultimo","meses","aprovada_max","entidade_nome","confianca","evidencia","bloco_nome"
13000,13300,"13000","MAPA","MINIST.DA AGRICULTURA,PECUARIA E ABAST.",201601,202606,124,14852,"Ministério da Agricultura e Pecuária","alta","migração gradual 202311-202405; soma dos dois preserva o total","MINIST.DA AGRICULTURA,PECUARIA E ABAST."
13100,13100,"13100","MDA","MIN DO DESENV AGR E AGRIC FAMILIAR",202306,202606,36,117,"Min. do Desenv. Agrário e Agric. Familiar","media","código vigente","MIN DO DESENV AGR E AGRIC FAMILIAR"
13200,13200,"13200","MPA","MINISTERIO DA PESCA E AQUICULTURA",202307,202606,35,77,"MINISTERIO DA PESCA E AQUICULTURA","estavel","código presente sem troca ao longo da série","MINISTERIO DA PESCA E AQUICULTURA"
13300,13300,"13300","MAPA","MINISTERIO DA AGRICULTURA E PECUARIA",202311,202606,31,11596,"Ministério da Agricultura e Pecuária","alta","código vigente","MINISTERIO DA AGRICULTURA E PECUARIA"
15000,15000,"15000","MEC","MINISTERIO DA EDUCACAO",201601,202606,124,53604,"MINISTERIO DA EDUCACAO","estavel","código presente sem troca ao longo da série","MINISTERIO DA EDUCACAO"
16000,16000,"16000","C.EX","COMANDO DO EXERCITO",201601,202606,124,12201,"COMANDO DO EXERCITO","estavel","código presente sem troca ao longo da série","COMANDO DO EXERCITO"
16100,16100,"16100","F.OSORIO","FUNDACAO OSORIO",201601,202606,124,130,"FUNDACAO OSORIO","estavel","código presente sem troca ao longo da série","FUNDACAO OSORIO"
17000,17000,"economico","ME","MINISTERIO DA ECONOMIA",201601,202606,124,78873,"MINISTERIO DA ECONOMIA","estavel","código presente sem troca ao longo da série","Núcleo econômico (ex-Fazenda/Economia)"
17200,17200,"17200","MPI","MINISTERIO DOS POVOS INDIGENAS",202505,202512,7,30,"MINISTERIO DOS POVOS INDIGENAS","estavel","código presente sem troca ao longo da série","MINISTERIO DOS POVOS INDIGENAS"
17300,17300,"economico","MPO","MINISTERIO DO PLANEJAMENTO E ORCAMENTO",202306,202606,36,803,"MINISTERIO DO PLANEJAMENTO E ORCAMENTO","estavel","código presente sem troca ao longo da série","Núcleo econômico (ex-Fazenda/Economia)"
