"competencia","data","ano","nome_cargo","nivel","ocupada","aprovada","orgaos"
202108,2021-08-01,2021,"ACOUGUEIRO","NA",18,18,8
202108,2021-08-01,2021,"ADERECISTA","NI",1,1,1
202108,2021-08-01,2021,"ADMINISTRADOR","NS",150,151,14
202108,2021-08-01,2021,"ADMINISTRADOR ESCOLAR","NS",3,3,1
202108,2021-08-01,2021,"AFINADOR DE INST MUSICAIS","NI",2,2,1
202108,2021-08-01,2021,"AG DE MECANIZACAO DE APOIO","NI",1,1,1
202108,2021-08-01,2021,"AG DE SERV DE ENGENHARIA","NI",1,1,1
202108,2021-08-01,2021,"AG DE VIGILANCIA","NI",1,1,1
202108,2021-08-01,2021,"AG INSP SANIT E IND PROD ORIG ANIMAL","NI",1,1,1
202108,2021-08-01,2021,"AG OPERAC DE TELEC E ELETRICIDADE","NA",6,6,6
202108,2021-08-01,2021,"AG TELECOMUNIC E ELETRICIDADE","NI",39,39,3
202108,2021-08-01,2021,"AGENTE ADMINISTRATIVO","NI",883,906,23
202108,2021-08-01,2021,"AGENTE ANALISTA DOCUMENTAL","NI",3,3,2
202108,2021-08-01,2021,"AGENTE ANALISTA GRAF FIS SUP","NI",2,2,2
202108,2021-08-01,2021,"AGENTE ANALISTA PUBLIC OFICIAIS","NI",2,2,2
202108,2021-08-01,2021,"AGENTE ANALISTA PUBLIC OFICIAL","NI",1,1,1
202108,2021-08-01,2021,"AGENTE ANALISTA SIST SOCIO ECONOMICO","NI",1,1,1
202108,2021-08-01,2021,"AGENTE ATIV AGROPECUARIAS","NI",3,3,1
202108,2021-08-01,2021,"AGENTE ATIVIDADE ADMINISTRATIVA","NI",1,1,1
202108,2021-08-01,2021,"AGENTE AUX DE SAUDE PUBLICA","NA",4,4,2
202108,2021-08-01,2021,"AGENTE CARCERARIO CIVIL ESPECIAL","NI",8,8,1
202108,2021-08-01,2021,"AGENTE CINEFOTO MICROFILMAGEM","NI",3,3,3
202108,2021-08-01,2021,"AGENTE CINEFOTOG E MICROFILMAGEM","NI",3,3,2
202108,2021-08-01,2021,"AGENTE CINEFOTOGRAFIA E MICROFILMALGEM","NI",3,3,1
202108,2021-08-01,2021,"AGENTE DE ANALISTA DOCUMENTAL","NI",1,1,1
202108,2021-08-01,2021,"AGENTE DE ANALISTA GRAF FIS SUP","NI",1,1,1
202108,2021-08-01,2021,"AGENTE DE ATIV AGROPECUARIAS","NI",277,283,11
202108,2021-08-01,2021,"AGENTE DE ATIV MARITIMAS FLUVIAIS","NI",12,12,3
202108,2021-08-01,2021,"AGENTE DE ATIVID AGROPECUARIAS","NI",1,1,1
202108,2021-08-01,2021,"AGENTE DE ATIVIDADE AGROPECUARIA","NI",41,45,2
202108,2021-08-01,2021,"AGENTE DE CINEF E MICROFILMAGEM","NI",1,1,1
202108,2021-08-01,2021,"AGENTE DE CINEFOTO MICROFILMAGEM","NI",40,40,9
202108,2021-08-01,2021,"AGENTE DE COLOCACAO","NI",19,19,2
202108,2021-08-01,2021,"AGENTE DE COMBATE AS ENDEMIAS","NA",4456,4456,1
202108,2021-08-01,2021,"AGENTE DE COMUNICACAO SOCIAL","NI",12,12,5
202108,2021-08-01,2021,"AGENTE DE HIG SEGURANCA NO TRABALHO","NI",4,4,2
202108,2021-08-01,2021,"AGENTE DE HIGIENE E SEG NO TRABALHO","NI",31,31,1
202108,2021-08-01,2021,"AGENTE DE LIMP E CONSERVACAO","NA",236,236,2
202108,2021-08-01,2021,"AGENTE DE LIMPEZA E CONSERVACAO","NA",1,1,1
202108,2021-08-01,2021,"AGENTE DE MECANIZACAO DE APOIO","NI",18,18,8
202108,2021-08-01,2021,"AGENTE DE MECANIZACAO E APOIO","NI",2,2,2
202108,2021-08-01,2021,"AGENTE DE POLICIA CIVIL ESPECIAL","NI",254,266,3
202108,2021-08-01,2021,"AGENTE DE POLICIA CIVIL PRIMEIRA","NI",2,4,2
202108,2021-08-01,2021,"AGENTE DE POLICIA CIVIL SEGUNDA","NI",10,10,3
202108,2021-08-01,2021,"AGENTE DE POLICIA CIVIL TERCEIRA","NI",64,65,3
202108,2021-08-01,2021,"AGENTE DE PORTARIA","NA",2,2,1
202108,2021-08-01,2021,"AGENTE DE PORTARIA","NI",2696,2697,44
202108,2021-08-01,2021,"AGENTE DE PORTARIA - 30 H","NI",2,2,1
202108,2021-08-01,2021,"AGENTE DE PORTARIA IN 30 74 30 HORAS","NI",1,1,1
202108,2021-08-01,2021,"AGENTE DE PROGRAMAS ASSISTENCIAIS","NI",24,24,2
202108,2021-08-01,2021,"AGENTE DE SAUDE","NI",10,10,3
202108,2021-08-01,2021,"AGENTE DE SAUDE PUBLICA","NI",4633,4633,6
202108,2021-08-01,2021,"AGENTE DE SERV COMPLEMENTARES","NI",126,126,8
202108,2021-08-01,2021,"AGENTE DE SERV DE ENGENHARIA","NI",302,302,9
202108,2021-08-01,2021,"AGENTE DE SERV GERAIS","NA",1,1,1
202108,2021-08-01,2021,"AGENTE DE SERVICOS COMPLEMENTARES","NI",5,5,3
202108,2021-08-01,2021,"AGENTE DE SERVICOS DE ENGENHARIA","NI",21,21,2
202108,2021-08-01,2021,"AGENTE DE SERVICOS DE SAUDE","NI",1,1,1
202108,2021-08-01,2021,"AGENTE DE SERVICOS DIVERSOS","NI",597,597,2
202108,2021-08-01,2021,"AGENTE DE SERVICOS GERAIS","NA",2,2,1
202108,2021-08-01,2021,"AGENTE DE SERVICOS GERAIS","NI",6,6,2
