"competencia","data","ano","motivo","acumulado"
202108,2021-08-01,2021,"Exoneração",18288
202108,2021-08-01,2021,"Demissão",3934
202108,2021-08-01,2021,"Promoção",392
202108,2021-08-01,2021,"Readaptação",82
202108,2021-08-01,2021,"Aposentadoria",217636
202108,2021-08-01,2021,"Posse em cargo inacumulável",18942
202108,2021-08-01,2021,"Falecimento",17045
202109,2021-09-01,2021,"Exoneração",18404
202109,2021-09-01,2021,"Demissão",3959
202109,2021-09-01,2021,"Promoção",394
202109,2021-09-01,2021,"Readaptação",82
202109,2021-09-01,2021,"Aposentadoria",218005
202109,2021-09-01,2021,"Posse em cargo inacumulável",18975
202109,2021-09-01,2021,"Falecimento",17078
202110,2021-10-01,2021,"Exoneração",18494
202110,2021-10-01,2021,"Demissão",3971
202110,2021-10-01,2021,"Promoção",413
202110,2021-10-01,2021,"Readaptação",82
202110,2021-10-01,2021,"Aposentadoria",218374
202110,2021-10-01,2021,"Posse em cargo inacumulável",18992
202110,2021-10-01,2021,"Falecimento",17124
202111,2021-11-01,2021,"Exoneração",18555
202111,2021-11-01,2021,"Demissão",3983
202111,2021-11-01,2021,"Promoção",414
202111,2021-11-01,2021,"Readaptação",82
202111,2021-11-01,2021,"Aposentadoria",218689
202111,2021-11-01,2021,"Posse em cargo inacumulável",19008
202111,2021-11-01,2021,"Falecimento",17166
202112,2021-12-01,2021,"Exoneração",18653
202112,2021-12-01,2021,"Demissão",3992
202112,2021-12-01,2021,"Promoção",393
202112,2021-12-01,2021,"Readaptação",82
202112,2021-12-01,2021,"Aposentadoria",218900
202112,2021-12-01,2021,"Posse em cargo inacumulável",19085
202112,2021-12-01,2021,"Falecimento",17177
202201,2022-01-01,2022,"Exoneração",18713
202201,2022-01-01,2022,"Demissão",3903
202201,2022-01-01,2022,"Promoção",396
202201,2022-01-01,2022,"Readaptação",82
202201,2022-01-01,2022,"Aposentadoria",217327
202201,2022-01-01,2022,"Posse em cargo inacumulável",19169
202201,2022-01-01,2022,"Falecimento",17158
202202,2022-02-01,2022,"Exoneração",18761
202202,2022-02-01,2022,"Demissão",3920
202202,2022-02-01,2022,"Promoção",399
202202,2022-02-01,2022,"Readaptação",82
202202,2022-02-01,2022,"Aposentadoria",217355
202202,2022-02-01,2022,"Posse em cargo inacumulável",19247
202202,2022-02-01,2022,"Falecimento",17158
202203,2022-03-01,2022,"Exoneração",18928
202203,2022-03-01,2022,"Demissão",3944
202203,2022-03-01,2022,"Promoção",404
202203,2022-03-01,2022,"Readaptação",82
202203,2022-03-01,2022,"Aposentadoria",217925
202203,2022-03-01,2022,"Posse em cargo inacumulável",19337
202203,2022-03-01,2022,"Falecimento",17203
202204,2022-04-01,2022,"Exoneração",19089
202204,2022-04-01,2022,"Demissão",3958
202204,2022-04-01,2022,"Promoção",416
202204,2022-04-01,2022,"Readaptação",82
202204,2022-04-01,2022,"Aposentadoria",218510
202204,2022-04-01,2022,"Posse em cargo inacumulável",19429
202204,2022-04-01,2022,"Falecimento",17268
202205,2022-05-01,2022,"Exoneração",19209
202205,2022-05-01,2022,"Demissão",3961
202205,2022-05-01,2022,"Promoção",418
202205,2022-05-01,2022,"Readaptação",82
202205,2022-05-01,2022,"Aposentadoria",218936
202205,2022-05-01,2022,"Posse em cargo inacumulável",19468
202205,2022-05-01,2022,"Falecimento",17292
202206,2022-06-01,2022,"Exoneração",19327
202206,2022-06-01,2022,"Demissão",3971
202206,2022-06-01,2022,"Promoção",422
202206,2022-06-01,2022,"Readaptação",81
202206,2022-06-01,2022,"Aposentadoria",219137
202206,2022-06-01,2022,"Posse em cargo inacumulável",19367
202206,2022-06-01,2022,"Falecimento",17316
202207,2022-07-01,2022,"Exoneração",19373
202207,2022-07-01,2022,"Demissão",3958
202207,2022-07-01,2022,"Promoção",396
202207,2022-07-01,2022,"Readaptação",81
202207,2022-07-01,2022,"Aposentadoria",219219
202207,2022-07-01,2022,"Posse em cargo inacumulável",19459
202207,2022-07-01,2022,"Falecimento",17303
202208,2022-08-01,2022,"Exoneração",19399
202208,2022-08-01,2022,"Demissão",3923
202208,2022-08-01,2022,"Promoção",398
202208,2022-08-01,2022,"Readaptação",81
202208,2022-08-01,2022,"Aposentadoria",219156
202208,2022-08-01,2022,"Posse em cargo inacumulável",19634
202208,2022-08-01,2022,"Falecimento",17303
202209,2022-09-01,2022,"Exoneração",19457
202209,2022-09-01,2022,"Demissão",3923
202209,2022-09-01,2022,"Promoção",403
202209,2022-09-01,2022,"Readaptação",81
202209,2022-09-01,2022,"Aposentadoria",219314
202209,2022-09-01,2022,"Posse em cargo inacumulável",19710
202209,2022-09-01,2022,"Falecimento",17309
202210,2022-10-01,2022,"Exoneração",19460
202210,2022-10-01,2022,"Demissão",3893
202210,2022-10-01,2022,"Promoção",421
