"competencia","data","ano","plano_carreira","aprovada","distribuida","ocupada","vago","taxa_vacancia"
202108,2021-08-01,2021,"Cargo Isolado de Especialista em Infra-Estrutura Senior",181,57,56,125,69.06
202108,2021-08-01,2021,"Cargo Isolado de Juiz do Tribunal Marítimo",6,6,6,0,0
202108,2021-08-01,2021,"Cargo Isolado de Juiz-Presidente do Tribunal Marítimo",1,1,1,0,0
202108,2021-08-01,2021,"Cargos de Atividades Técnicas de Fiscalização Agropecuária do Quadro de Pessoal do Mapa",3739,3670,1702,2037,54.48
202108,2021-08-01,2021,"Carreira Auditoria-Fiscal do Trabalho",3622,2232,2030,1592,43.95
202108,2021-08-01,2021,"Carreira Policial Federal",14736,14490,11040,3696,25.08
202108,2021-08-01,2021,"Carreira Policial Rodoviário Federal",13077,13077,10932,2145,16.4
202108,2021-08-01,2021,"Carreira Previdenciária",6,6,6,0,0
202108,2021-08-01,2021,"Carreira Tributária e Aduaneira da Receita Federal do Brasil",37125,35688,13965,23160,62.38
202108,2021-08-01,2021,"Carreira da Previdência, da Saúde e do Trabalho",82506,73469,39698,42808,51.88
202108,2021-08-01,2021,"Carreira da Seguridade Social e do Trabalho",484,415,294,190,39.26
202108,2021-08-01,2021,"Carreira de Advogado da União",2378,2353,1693,685,28.81
202108,2021-08-01,2021,"Carreira de Agente Federal de Execução Penal",1598,1540,1258,340,21.28
202108,2021-08-01,2021,"Carreira de Analista Administrativo - ANA",84,75,46,38,45.24
202108,2021-08-01,2021,"Carreira de Analista Administrativo - Agências Reguladoras",1437,1392,1158,279,19.42
202108,2021-08-01,2021,"Carreira de Analista Administrativo - DNIT",400,306,216,184,46
202108,2021-08-01,2021,"Carreira de Analista Administrativo - DNPM",200,78,78,122,61
202108,2021-08-01,2021,"Carreira de Analista de Comércio Exterior",726,406,399,327,45.04
202108,2021-08-01,2021,"Carreira de Analista de Infra-Estrutura",1199,707,701,498,41.53
202108,2021-08-01,2021,"Carreira de Assistente de Chancelaria",1155,1149,419,736,63.72
202108,2021-08-01,2021,"Carreira de Auditor Fiscal Federal Agropecuário",3643,3627,2516,1127,30.94
202108,2021-08-01,2021,"Carreira de Desenvolvimento de Políticas Sociais",2292,1415,760,1532,66.84
202108,2021-08-01,2021,"Carreira de Diplomata",2101,1425,1292,809,38.51
202108,2021-08-01,2021,"Carreira de Especialista Federal em Assistência à Execução Penal",85,83,66,19,22.35
202108,2021-08-01,2021,"Carreira de Especialista em Geologia e Geofísica do Petróleo e Gás Natural",50,33,31,19,38
202108,2021-08-01,2021,"Carreira de Especialista em Geoprocessamento",27,27,27,0,0
202108,2021-08-01,2021,"Carreira de Especialista em Meio-Ambiente",9242,8217,4370,4872,52.72
202108,2021-08-01,2021,"Carreira de Especialista em Políticas Públicas e Gestão Governamental",1750,956,940,810,46.29
202108,2021-08-01,2021,"Carreira de Especialista em Recursos Hídricos",239,239,186,53,22.18
202108,2021-08-01,2021,"Carreira de Especialista em Recursos Minerais",848,265,241,607,71.58
202108,2021-08-01,2021,"Carreira de Financiamento e Execução de Programas e Projetos Educacionais",427,427,171,256,59.95
