"competencia","data","ano","entidade","entidade_nome","bloco","aprovada","distribuida","ocupada","vago","nunca_distribuido","vago_pos_distrib","taxa_vacancia"
201601,2016-01-01,2016,13100,"Min. do Desenv. Agrário e Agric. Familiar","42000",616,246,179,437,370,67,70.94
201601,2016-01-01,2016,13300,"Ministério da Agricultura e Pecuária","13000",14458,13940,9690,4768,518,4250,32.98
201601,2016-01-01,2016,15000,"MINISTERIO DA EDUCACAO","15000",46867,2337,1018,45849,44530,1319,97.83
201601,2016-01-01,2016,16000,"COMANDO DO EXERCITO","16000",12201,12199,5999,6202,2,6200,50.83
201601,2016-01-01,2016,16100,"FUNDACAO OSORIO","16100",130,130,66,64,0,64,49.23
201601,2016-01-01,2016,17000,"MINISTERIO DA ECONOMIA","economico",57186,55091,31813,25373,2095,23278,44.37
201601,2016-01-01,2016,20000,"MINIST. DA JUSTICA E SEGURANCA PUBLICA","20000",3893,3074,2241,1652,819,833,42.44
201601,2016-01-01,2016,20101,"PRESIDENCIA DA REPUBLICA","20101",494,475,344,150,19,131,30.36
201601,2016-01-01,2016,20102,"VICE-PRESIDENCIA DA REPUBLICA","20102",3,3,0,3,0,3,100
201601,2016-01-01,2016,20114,"AGENCIA BRASILEIRA DE INTELIGENCIA","20114",128,107,62,66,21,45,51.56
201601,2016-01-01,2016,20115,"DEPARTAMENTO DE POLICIA FEDERAL","20115",17968,17569,14013,3955,399,3556,22.01
201601,2016-01-01,2016,20224,"AGENCIA NACIONAL DO CINEMA","20224",363,363,349,14,0,14,3.86
201601,2016-01-01,2016,21000,"COMANDO DA AERONAUTICA","21000",10697,9733,5330,5367,964,4403,50.17
201601,2016-01-01,2016,21201,"CAIXA DE FINANCIAMENTO IMOB.AERONAUTICA","21201",6,6,1,5,0,5,83.33
201601,2016-01-01,2016,21300,"AGENCIA ESPACIAL BRASILEIRA","21300",255,255,7,248,0,248,97.25
201601,2016-01-01,2016,24203,"FUNDACAO NACIONAL DE ARTES","24203",526,526,262,264,0,264,50.19
201601,2016-01-01,2016,24204,"INSTITUTO DO PATR.HIST.E ART. NACIONAL","24204",1269,1268,760,509,1,508,40.11
201601,2016-01-01,2016,24205,"FUNDACAO BIBLIOTECA NACIONAL","24205",544,544,362,182,0,182,33.46
201601,2016-01-01,2016,25000,"MINISTERIO DA SAUDE","25000",110962,105611,65627,45335,5351,39984,40.86
201601,2016-01-01,2016,26104,"INSTITUTO NACIONAL DE EDUCACAO DE SURDOS","26104",508,507,442,66,1,65,12.99
201601,2016-01-01,2016,26105,"INSTITUTO BENJAMIN CONSTANT","26105",284,273,250,34,11,23,11.97
201601,2016-01-01,2016,26106,"FUNDO NACIONAL DE DESENVOLV. DA EDUCACAO","26106",1128,1128,593,535,0,535,47.43
201601,2016-01-01,2016,26107,"INST.NACIONAL DE EST.E PESQ.EDUCACIONAIS","26107",619,534,420,199,85,114,32.15
201601,2016-01-01,2016,26201,"COLEGIO PEDRO II","26201",2247,2225,2140,107,22,85,4.76
201601,2016-01-01,2016,26230,"FUND.UNIV.FED.DO VALE DO SAO FRANCISCO","26230",974,856,841,133,118,15,13.66
201601,2016-01-01,2016,26231,"UNIVERSIDADE FEDERAL DE ALAGOAS","26231",3545,3417,3298,247,128,119,6.97
201601,2016-01-01,2016,26232,"UNIVERSIDADE FEDERAL DA BAHIA","26232",6026,6005,5547,479,21,458,7.95
201601,2016-01-01,2016,26233,"UNIVERSIDADE FEDERAL DO CEARA","26233",6478,6222,5883,595,256,339,9.18
201601,2016-01-01,2016,26234,"UNIVERSIDADE FEDERAL DO ESPIRITO SANTO","26234",4098,4043,3826,272,55,217,6.64
201601,2016-01-01,2016,26235,"UNIVERSIDADE FEDERAL DE GOIAS","26235",5319,5113,4894,425,206,219,7.99
201601,2016-01-01,2016,26236,"UNIVERSIDADE FEDERAL FLUMINENSE","26236",7851,7738,7421,430,113,317,5.48
201601,2016-01-01,2016,26237,"UNIVERSIDADE FEDERAL DE JUIZ DE FORA","26237",3341,3242,3162,179,99,80,5.36
201601,2016-01-01,2016,26238,"UNIVERSIDADE FEDERAL DE MINAS GERAIS","26238",7924,7851,7415,509,73,436,6.42
201601,2016-01-01,2016,26239,"UNIVERSIDADE FEDERAL DO PARA","26239",5508,5183,4899,609,325,284,11.06
201601,2016-01-01,2016,26240,"UNIVERSIDADE FEDERAL DA PARAIBA","26240",6559,6450,6111,448,109,339,6.83
201601,2016-01-01,2016,26241,"UNIVERSIDADE FEDERAL DO PARANA","26241",6561,6444,6234,327,117,210,4.98
201601,2016-01-01,2016,26242,"UNIVERSIDADE FEDERAL DE PERNAMBUCO","26242",7014,6887,6668,346,127,219,4.93
201601,2016-01-01,2016,26243,"UNIVERSIDADE FED. DO RIO GRANDE DO NORTE","26243",5807,5706,5469,338,101,237,5.82
201601,2016-01-01,2016,26244,"UNIVERSIDADE FED. DO RIO GRANDE DO SUL","26244",5776,5657,5493,283,119,164,4.9
201601,2016-01-01,2016,26245,"UNIVERSIDADE FEDERAL DO RIO DE JANEIRO","26245",14149,14047,13439,710,102,608,5.02
201601,2016-01-01,2016,26246,"UNIVERSIDADE FEDERAL DE SANTA CATARINA","26246",6011,5877,5642,369,134,235,6.14
201601,2016-01-01,2016,26247,"UNIVERSIDADE FEDERAL DE SANTA MARIA","26247",4855,4737,4540,315,118,197,6.49
201601,2016-01-01,2016,26248,"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO","26248",2444,2379,2289,155,65,90,6.34
201601,2016-01-01,2016,26249,"UNIV. FEDERAL RURAL DO RIO DE JANEIRO","26249",2529,2480,2413,116,49,67,4.59
201601,2016-01-01,2016,26250,"UNIVERSIDADE FEDERAL DE RORAIMA","26250",1075,1001,958,117,74,43,10.88
201601,2016-01-01,2016,26251,"FUNDACAO UNIVERSIDADE FED. DO TOCANTINS","26251",1988,1840,1801,187,148,39,9.41
201601,2016-01-01,2016,26252,"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE","26252",3208,3094,2962,246,114,132,7.67
201601,2016-01-01,2016,26253,"UNIVERSIDADE FEDERAL RURAL DA AMAZONIA","26253",1212,803,767,445,409,36,36.72
201601,2016-01-01,2016,26254,"UNIVERSIDADE FED.DO TRIANGULO MINEIRO","26254",2263,2140,2091,172,123,49,7.6
201601,2016-01-01,2016,26255,"UNI.FED.VALES DO JEQUITINHONHA E MUCURI","26255",1479,1263,1218,261,216,45,17.65
201601,2016-01-01,2016,26256,"CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA","26256",1581,1524,1470,111,57,54,7.02
201601,2016-01-01,2016,26257,"CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS","26257",1680,1651,1606,74,29,45,4.4
201601,2016-01-01,2016,26258,"UNIVERS. TECNOLOGICA FEDERAL DO PARANA","26258",3839,3754,3648,191,85,106,4.98
201601,2016-01-01,2016,26260,"UNIVERSIDADE FEDERAL DE ALFENAS","26260",917,863,836,81,54,27,8.83
201601,2016-01-01,2016,26261,"UNIVERSIDADE FEDERAL DE ITAJUBA","26261",897,885,853,44,12,32,4.91
201601,2016-01-01,2016,26262,"UNIVERSIDADE FEDERAL DE SAO PAULO","26262",5925,5696,5410,515,229,286,8.69
201601,2016-01-01,2016,26263,"UNIVERSIDADE FEDERAL DE LAVRAS","26263",1309,1258,1228,81,51,30,6.19
201601,2016-01-01,2016,26264,"UNIVERSIDADE FED. RURAL DO SEMI-ARIDO","26264",1284,1192,1172,112,92,20,8.72
201601,2016-01-01,2016,26266,"FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA","26266",1791,1642,1610,181,149,32,10.11
201601,2016-01-01,2016,26267,"UNIV.FED. DA INTEGRACAO LATINO-AMERICANA","26267",939,845,832,107,94,13,11.4
201601,2016-01-01,2016,26268,"FUND. UNIVERSIDADE FEDERAL DE RONDONIA","26268",1366,1333,1274,92,33,59,6.73
201601,2016-01-01,2016,26269,"UNIVERSIDADE DO RIO DE JANEIRO","26269",2511,2204,2102,409,307,102,16.29
201601,2016-01-01,2016,26270,"FUNDACAO UNIVERSIDADE DO AMAZONAS","26270",3543,3456,3208,335,87,248,9.46
201601,2016-01-01,2016,26271,"FUNDACAO UNIVERSIDADE DE BRASILIA","26271",6125,5904,5583,542,221,321,8.85
201601,2016-01-01,2016,26272,"FUNDACAO UNIVERSIDADE DO MARANHAO","26272",3668,3555,3361,307,113,194,8.37
201601,2016-01-01,2016,26273,"UNIVERSIDADE FEDERAL DO RIO GRANDE","26273",2155,2073,2001,154,82,72,7.15
201601,2016-01-01,2016,26274,"FUNDACAO UNIV. FEDERAL DE UBERLANDIA","26274",5253,5168,5055,198,85,113,3.77
201601,2016-01-01,2016,26275,"UNIVERSIDADE FEDERAL DO ACRE","26275",1535,1463,1411,124,72,52,8.08
201601,2016-01-01,2016,26276,"UNIVERSIDADE FEDERAL DE MATO GROSSO","26276",3700,3579,3443,257,121,136,6.95
201601,2016-01-01,2016,26277,"FUNDACAO UNIV. FEDERAL DE OURO PRETO","26277",1814,1732,1684,130,82,48,7.17
201601,2016-01-01,2016,26278,"FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS","26278",2796,2767,2689,107,29,78,3.83
201601,2016-01-01,2016,26279,"UNIVERSIDADE FEDERAL DO PIAUI","26279",3131,3039,2947,184,92,92,5.88
201601,2016-01-01,2016,26280,"UNIVERSIDADE FEDERAL DE SAO CARLOS","26280",2381,2314,2251,130,67,63,5.46
201601,2016-01-01,2016,26281,"FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","26281",3092,3021,2942,150,71,79,4.85
201601,2016-01-01,2016,26282,"UNIVERSIDADE FEDERAL DE VICOSA","26282",3754,3717,3626,128,37,91,3.41
201601,2016-01-01,2016,26283,"UNIV. FEDERAL DE MATO GROSSO DO SUL","26283",3611,3352,3344,267,259,8,7.39
201601,2016-01-01,2016,26284,"FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE","26284",570,558,539,31,12,19,5.44
201601,2016-01-01,2016,26285,"FUND. UNIVERSIDADE DE SAO JOAO DEL REI","26285",1460,1391,1317,143,69,74,9.79
201601,2016-01-01,2016,26286,"FUNDACAO UNVERSIDADE FEDERAL DO AMAPA","26286",1188,1062,1031,157,126,31,13.22
201601,2016-01-01,2016,26292,"FUNDACAO JOAQUIM NABUCO","26292",453,453,267,186,0,186,41.06
201601,2016-01-01,2016,26298,"FUND COORD APERF PESSOAL NIVEL SUPERIOR","26298",553,502,395,158,51,107,28.57
