"competencia","data","ano","mes","era","aprovada","distribuida","ocupada","vago","nunca_distribuido","vago_pos_distrib","taxa_vacancia","pct_fantasma"
201601,2016-01-01,2016,1,1,788584,697389,530805,257779,91195,166584,32.69,35.38
201602,2016-02-01,2016,2,1,788361,696917,530991,257370,91444,165926,32.65,35.53
201603,2016-03-01,2016,3,1,788208,697734,530732,257476,90474,167002,32.67,35.14
201604,2016-04-01,2016,4,1,788173,696303,530597,257576,91870,165706,32.68,35.67
201605,2016-05-01,2016,5,1,788102,696953,530220,257882,91149,166733,32.72,35.35
201606,2016-06-01,2016,6,1,788201,698575,530931,257270,89626,167644,32.64,34.84
201607,2016-07-01,2016,7,1,788108,699735,531029,257079,88373,168706,32.62,34.38
201608,2016-08-01,2016,8,1,788090,700630,531561,256529,87460,169069,32.55,34.09
201609,2016-09-01,2016,9,1,788106,701301,531474,256632,86805,169827,32.56,33.82
201610,2016-10-01,2016,10,1,788422,701566,531386,257036,86856,170180,32.6,33.79
201611,2016-11-01,2016,11,1,788611,702364,531741,256870,86247,170623,32.57,33.58
201612,2016-12-01,2016,12,1,789219,703502,532398,256821,85717,171104,32.54,33.38
201701,2017-01-01,2017,1,1,789717,703965,532561,257156,85752,171404,32.56,33.35
201702,2017-02-01,2017,2,1,791887,707201,534632,257255,84686,172569,32.49,32.92
201703,2017-03-01,2017,3,1,795029,708174,533950,261079,86855,174224,32.84,33.27
201704,2017-04-01,2017,4,1,795330,708819,533214,262116,86511,175605,32.96,33
201705,2017-05-01,2017,5,1,795445,709440,532628,262817,86005,176812,33.04,32.72
201706,2017-06-01,2017,6,1,795372,709855,531565,263807,85517,178290,33.17,32.42
201707,2017-07-01,2017,7,1,795240,709562,530580,264660,85678,178982,33.28,32.37
201708,2017-08-01,2017,8,1,794723,709388,530207,264516,85335,179181,33.28,32.26
201709,2017-09-01,2017,9,1,794703,709634,529573,265130,85069,180061,33.36,32.09
201710,2017-10-01,2017,10,1,794562,709755,529438,265124,84807,180317,33.37,31.99
201711,2017-11-01,2017,11,1,794560,709901,529077,265483,84659,180824,33.41,31.89
201712,2017-12-01,2017,12,1,794644,710301,529095,265549,84343,181206,33.42,31.76
201801,2018-01-01,2018,1,1,794587,710667,529236,265351,83920,181431,33.39,31.63
201802,2018-02-01,2018,2,1,794307,711761,529559,264748,82546,182202,33.33,31.18
201804,2018-04-01,2018,4,1,783292,703701,540011,243281,79591,163690,31.06,32.72
201805,2018-05-01,2018,5,1,785403,704008,538816,246587,81395,165192,31.4,33.01
201806,2018-06-01,2018,6,1,784417,703920,538112,246305,80497,165808,31.4,32.68
201807,2018-07-01,2018,7,1,784808,704464,537783,247025,80344,166681,31.48,32.52
201808,2018-08-01,2018,8,1,784773,705240,538195,246578,79533,167045,31.42,32.25
201809,2018-09-01,2018,9,1,784689,705522,538130,246559,79167,167392,31.42,32.11
201810,2018-10-01,2018,10,1,784665,705056,537723,246942,79609,167333,31.47,32.24
201811,2018-11-01,2018,11,1,784392,704595,537144,247248,79797,167451,31.52,32.27
