"competencia","data","ano","nivel","aprovada","distribuida","ocupada","vago","nivel_nome","taxa_vacancia"
201601,2016-01-01,2016,"NA",21307,19699,18962,2345,"Nível de apoio",11.01
201601,2016-01-01,2016,"NI",345517,317298,228687,116830,"Nível intermediário",33.81
201601,2016-01-01,2016,"NM",1933,1393,887,1046,"Nível médio",54.11
201601,2016-01-01,2016,"NS",419827,358999,282269,137558,"Nível superior",32.77
201602,2016-02-01,2016,"NA",21231,19623,18895,2336,"Nível de apoio",11
201602,2016-02-01,2016,"NI",345371,317351,228251,117120,"Nível intermediário",33.91
201602,2016-02-01,2016,"NM",1933,1393,882,1051,"Nível médio",54.37
201602,2016-02-01,2016,"NS",419826,358550,282963,136863,"Nível superior",32.6
201603,2016-03-01,2016,"NA",21198,19590,18830,2368,"Nível de apoio",11.17
201603,2016-03-01,2016,"NI",345263,317541,227851,117412,"Nível intermediário",34.01
201603,2016-03-01,2016,"NM",1933,1393,878,1055,"Nível médio",54.58
201603,2016-03-01,2016,"NS",419814,359210,283173,136641,"Nível superior",32.55
201604,2016-04-01,2016,"NA",21219,19603,18827,2392,"Nível de apoio",11.27
201604,2016-04-01,2016,"NI",345195,315851,227353,117842,"Nível intermediário",34.14
201604,2016-04-01,2016,"NM",1933,1393,878,1055,"Nível médio",54.58
201604,2016-04-01,2016,"NS",419826,359456,283539,136287,"Nível superior",32.46
201605,2016-05-01,2016,"NA",21230,19614,18820,2410,"Nível de apoio",11.35
201605,2016-05-01,2016,"NI",345113,315880,226964,118149,"Nível intermediário",34.23
201605,2016-05-01,2016,"NM",1933,1393,878,1055,"Nível médio",54.58
201605,2016-05-01,2016,"NS",419826,360066,283558,136268,"Nível superior",32.46
201606,2016-06-01,2016,"NA",21319,19703,18889,2430,"Nível de apoio",11.4
201606,2016-06-01,2016,"NI",345003,315972,226563,118440,"Nível intermediário",34.33
201606,2016-06-01,2016,"NM",1933,1393,870,1063,"Nível médio",54.99
201606,2016-06-01,2016,"NS",419946,361507,284609,135337,"Nível superior",32.23
201607,2016-07-01,2016,"NA",21314,19701,18869,2445,"Nível de apoio",11.47
201607,2016-07-01,2016,"NI",344897,316007,226181,118716,"Nível intermediário",34.42
201607,2016-07-01,2016,"NM",1933,1393,860,1073,"Nível médio",55.51
201607,2016-07-01,2016,"NS",419964,362634,285119,134845,"Nível superior",32.11
201608,2016-08-01,2016,"NA",21407,19794,18946,2461,"Nível de apoio",11.5
201608,2016-08-01,2016,"NI",344775,316263,226192,118583,"Nível intermediário",34.39
201608,2016-08-01,2016,"NM",1933,1393,861,1072,"Nível médio",55.46
201608,2016-08-01,2016,"NS",419975,363180,285562,134413,"Nível superior",32.01
201609,2016-09-01,2016,"NA",21486,19870,19012,2474,"Nível de apoio",11.51
201609,2016-09-01,2016,"NI",344682,316298,225904,118778,"Nível intermediário",34.46
201609,2016-09-01,2016,"NM",1931,1391,854,1077,"Nível médio",55.77
201609,2016-09-01,2016,"NS",420007,363742,285704,134303,"Nível superior",31.98
201610,2016-10-01,2016,"NA",21513,19897,19022,2491,"Nível de apoio",11.58
201610,2016-10-01,2016,"NI",344726,316237,225783,118943,"Nível intermediário",34.5
201610,2016-10-01,2016,"NM",1973,1432,889,1084,"Nível médio",54.94
